List,Total_Views,Total_Downloads,Year,Yearly_Views,Yearly_Downloads,sort_key
S0,1959,2440,2022,1959.0,2440.0,0
S0,3111,3199,2023,1152.0,759.0,0
S0,5733,3692,2024,2622.0,493.0,0
S0,7616,5482,2025,1883.0,1790.0,0
S1,416,733,2022,416.0,733.0,1
S1,571,939,2023,155.0,206.0,1
S1,1100,912,2024,529.0,-27.0,1
S1,1415,1180,2025,315.0,268.0,1
S2,287,617,2022,287.0,617.0,2
S2,465,795,2023,178.0,178.0,2
S2,1148,845,2024,683.0,50.0,2
S2,1629,1170,2025,481.0,325.0,2
S3,154,658,2022,154.0,658.0,3
S3,231,877,2023,77.0,219.0,3
S3,582,797,2024,351.0,-80.0,3
S3,841,1294,2025,0.0,0.0,3
S3,841,1294,2025,259.0,497.0,3
S4,436,602,2024,291.0,13.0,4
S4,95,452,2022,95.0,452.0,4
S4,145,589,2023,50.0,137.0,4
S4,596,826,2025,160.0,224.0,4
S5,139,480,2022,139.0,480.0,5
S5,455,623,2024,271.0,3.0,5
S5,652,860,2025,197.0,237.0,5
S5,184,620,2023,45.0,140.0,5
S6,468,774,2023,239.0,245.0,6
S6,229,529,2022,229.0,529.0,6
S6,1450,1143,2025,415.0,312.0,6
S6,1035,831,2024,567.0,57.0,6
S7,200,567,2022,200.0,567.0,7
S7,286,754,2023,86.0,187.0,7
S7,728,769,2024,442.0,15.0,7
S7,922,1039,2025,194.0,270.0,7
S8,559,867,2025,149.0,263.0,8
S8,410,604,2024,272.0,8.0,8
S8,83,452,2022,83.0,452.0,8
S8,138,596,2023,55.0,144.0,8
S9,343,543,2022,343.0,543.0,9
S9,1456,1321,2025,427.0,433.0,9
S9,460,759,2023,117.0,216.0,9
S9,1029,888,2024,569.0,129.0,9
S10,191,499,2022,191.0,499.0,10
S10,538,681,2024,268.0,33.0,10
S10,882,1332,2025,344.0,651.0,10
S10,270,648,2023,79.0,149.0,10
S11,544,849,2025,149.0,215.0,11
S11,395,634,2024,233.0,33.0,11
S11,162,601,2023,56.0,139.0,11
S11,106,462,2022,106.0,462.0,11
S12,191,502,2022,191.0,502.0,12
S12,808,991,2025,248.0,282.0,12
S12,560,709,2024,289.0,48.0,12
S12,271,661,2023,80.0,159.0,12
S13,25347,18907,2025,4093.0,4072.0,13
S13,21254,14835,2024,2299.0,1227.0,13
S13,18955,13608,2023,6993.0,3189.0,13
S13,11962,10419,2022,11962.0,10419.0,13
S14,898,1324,2024,365.0,6.0,14
S14,1216,1773,2025,318.0,449.0,14
S14,533,1318,2023,247.0,355.0,14
S14,286,963,2022,286.0,963.0,14
S15,556,721,2024,302.0,51.0,15
S15,254,670,2023,100.0,159.0,15
S15,154,511,2022,154.0,511.0,15
S15,789,957,2025,233.0,236.0,15
S16,176,520,2022,176.0,520.0,16
S16,229,658,2023,53.0,138.0,16
S16,503,669,2024,274.0,11.0,16
S16,699,871,2025,196.0,202.0,16
S17,387,876,2022,387.0,876.0,17
S17,2522,2177,2025,731.0,807.0,17
S17,1791,1370,2024,1186.0,221.0,17
S17,605,1149,2023,218.0,273.0,17
S18,203,461,2022,203.0,461.0,18
S18,317,630,2023,114.0,169.0,18
S18,751,544,2024,434.0,-86.0,18
S18,1021,727,2025,270.0,183.0,18
S19,254,530,2022,254.0,530.0,19
S19,393,702,2023,139.0,172.0,19
S19,929,838,2024,536.0,136.0,19
S19,1311,1205,2025,382.0,367.0,19
S20,210,541,2022,210.0,541.0,20
S20,295,693,2023,85.0,152.0,20
